,watch_name,Watch Description,Watch Price,Total Rating
103,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
104,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
105,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
106,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
107,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
108,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
109,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
110,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
111,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
112,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
113,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
114,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
115,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
116,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
117,V2A,"Boys and Girls Kids Watch - Waterproof Watch, Gifts for Boys and Girls Age 5-13 for Multi-Functional 30 M Waterproof Digital Sports Watches for 3 4 5 6 7 Year Old Girls",599,0
118,WRIGHTRACK,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,799,705
119,TIMEX,Analogue Men's Watch (White Dial Brown Colored Strap),395,"3,027"
120,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
121,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
122,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
123,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
124,boAt,Analog Men's Watch (Dial Colored Strap),355,322
125,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
126,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
127,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
128,MARVIK,Analogue Women's Watch (Black Dial),339,736
129,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
130,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
131,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
132,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
133,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
